pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
-453447.543169,1,0,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.53516100004,1,0,0.850833842115859,0.4707795861476359,0.44815852760347685,44.88301174103435,3d c++,150.64946756724348,132.44195337516555,31.9656413397774,44.88301174103435,73.41042288398091,34.1375821023728,0.9110903085096544,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-7.017051989284322,9.755933684637215,471.8093373015366,0.21083438660257678,0.6581761885571454,-0.7227399022070831,17.0687910511864,2.2891900165419847,-1.2869572711906492,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.52711100003,1,0,0.8805590703615991,0.4712042445499633,0.44827099689413685,44.25146462020181,3d c++,150.78535825598826,132.41496074540714,31.50834825438882,44.25146462020181,72.66002250554548,33.657825007566316,0.8512014415367752,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-6.912786335421813,9.726238623596295,471.81338938262377,0.21952319109111929,0.6557016001370687,-0.722402228783148,16.828912503783158,2.285907819668077,-1.2757842161249318,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.51874,2,0,0.9747140735151396,0.4711716750238496,0.448319777707305,44.09872497382731,3d c++,150.77493600763188,132.40325335024679,31.447102336373483,44.09872497382731,72.69591281508386,33.54085475527746,0.8247353790392431,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-6.921397631855819,9.715188952149003,471.8007636637978,0.21880558305495207,0.6547807941831277,-0.723454372018647,16.77042737763873,2.284688886538648,-1.277097386393994,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.511146,2,0,0.8271545029536104,0.47157178425041923,0.44848389684206136,44.183715400645035,3d c++,150.90297096013416,132.36386475790528,31.500104523299996,44.183715400645035,71.96361884835247,33.605760447283046,0.8240642396596276,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-6.820092455572935,9.685162199455325,471.8048704617791,0.22724768107852578,0.652278564791988,-0.7231121388535371,16.802880223641523,2.281382993904061,-1.266305749851937,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.50308,2,0,0.9206735183108914,0.47138893337537313,0.448830661489766,44.2567470717815,3d c++,150.8444586801194,132.28064124245614,31.81989343281606,44.2567470717815,72.12814949547618,33.65640923922011,0.8500163163229213,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-6.864100514203066,9.62142928562323,471.7341840381163,0.22358034285934816,0.6469674886393134,-0.729002674158769,16.828204619610055,2.274397048090712,-1.2732101241432154,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.495121,2,0,0.8100194986553976,0.4719068037316849,0.4496269655478521,44.24708467144132,3d c++,151.01017719413917,132.0895282685155,32.16642744090333,44.24708467144132,70.9198935738869,33.64296473078285,0.8534205887819502,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-6.73105139636563,9.471698415175338,471.6448570115828,0.2346677693458012,0.6344899161019889,-0.7364465930365601,16.821482365391425,2.2581447334663256,-1.2623196182786585,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.485339,3,0,0.9991750376710469,0.47252772313584607,0.4506478907956375,44.14738219512182,3d c++,151.20887140347074,131.844506209047,32.53379436921475,44.14738219512182,69.400194337393,33.559615403204496,0.88590438456424,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-6.571822066559915,9.278495200053689,471.5333892387686,0.2479368801629441,0.6183896481751848,-0.745735574104412,16.779807701602248,2.2374882455601757,-1.2498203486556165,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.475139,3,0,0.9983439564273274,0.47237437196892085,0.45178436610392647,42.89818667011853,3d c++,151.15979903005467,131.57175213505764,32.34567111077581,42.89818667011853,69.11367731622192,32.597355516956995,0.8682904030165806,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-6.612053777783083,9.050130549525367,471.33583039647374,0.24458423756101344,0.5993592606311581,-0.7621988109623166,16.298677758478497,2.2134967517020705,-1.2602835718698775,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.46656000003,4,0,0.7979464259647213,0.47271146136712233,0.4521376748863578,42.62082464513781,3d c++,151.26766763747915,131.4869580272741,32.24394979552972,42.62082464513781,68.34762756679054,32.38492460074211,0.8672487062408529,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-6.527843187932271,8.980238112565782,471.30858795328544,0.25160178671524774,0.593534890884526,-0.7644690145613416,16.192462300371055,2.2062403058899713,-1.252842854694055,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.459079,4,0,0.938623986287952,0.47391806342537823,0.45102786520205407,42.58609981627688,3d c++,151.65378029612103,131.75331235150702,31.245309661390053,42.58609981627688,66.8801392681772,32.37645430712555,0.8381391257469284,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-6.230897497970552,9.18678938510417,471.5777658450731,0.27634726087872435,0.6107474969293917,-0.7420375235790363,16.188227153562774,2.227800591767469,-1.2142922762328023,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.44565300003,4,0,0.7090697580855565,0.47446601007007383,0.4520133427866997,43.41135353115987,3d c++,151.82912322242362,131.51679773119207,32.1905639573677,43.41135353115987,65.42563119427622,32.997726407294365,0.8375429118542832,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-6.085577138048924,9.011346069708868,471.4908224177467,0.28845729087219335,0.5961272206464499,-0.7492828091895701,16.498863203647183,2.2094651990147245,-1.2033067684874155,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.44277200004,4,0,0.9096888374875248,0.47604114393190305,0.4512928322243003,42.757519884954654,3d c++,152.33316605820897,131.68972026616794,30.766125271452555,42.757519884954654,63.29907446283927,32.518518392897626,0.7928392164023745,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-5.6996517752377915,9.13692081779827,471.7522621072138,0.320617737773121,0.6065917829872333,-0.7274961684006421,16.259259196448813,2.222562877361363,-1.1556914292216378,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.43514300004,5,0,0.8030734676359532,0.47715714833071043,0.45103493950778784,42.99716857286787,3d c++,152.69028746582734,131.7516145181309,30.326704909516046,42.99716857286787,61.727294370742925,32.712172158466025,0.7821453619698104,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-5.421601874588948,9.186598636492077,471.9224525629174,0.3437885628271914,0.6107316012117172,-0.7133136304253455,16.356086079233012,2.2277805171472043,-1.1216846769422024,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.426985,5,0,0.9695415758228896,0.4765726589178142,0.4501219219784436,42.33209844219631,3d c++,152.50325085370054,131.97073872517353,29.589733401927315,42.33209844219631,63.16306095829534,32.21098546374925,0.6633991887407764,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-5.575089621079134,9.350530844623307,471.9920635924739,0.3309979172863425,0.6243926185559864,-0.7075127112956361,16.105492731874627,2.2451500309001147,-1.1332116970218573,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.421389,5,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.418061,5,0,0.9302932964627566,0.47738017662701127,0.45024557854229974,42.0369637441387,3d c++,152.7616565206436,131.94106114984805,29.138072266320787,42.0369637441387,61.87258780130269,31.991327041698895,0.5937237755581748,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-5.3758399565560655,9.323089122828014,472.0637463722278,0.3476020559965982,0.6221058084063786,-0.7015391463161439,15.995663520849448,2.242225805290045,-1.1107673148024226,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.414337,5,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.411037,5,0,0.8839487429886946,0.47849635397769985,0.4505193851817032,42.167081894714244,3d c++,153.11883327286395,131.87534755639123,28.8921726041165,42.167081894714244,60.05993335235598,32.09687682035795,0.5384942704322215,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-5.096963150150024,9.271937506720343,472.1619126565516,0.37084178986376837,0.6178431737307394,-0.6933586226224954,16.048438410178974,2.236793061984178,-1.0796601477177465,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.40942800004,5,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.40310600004,6,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.403054,6,0,0.9023883082470612,0.4790843861699079,0.45083905285633175,42.02081196063627,3d c++,153.30700357437053,131.79862731448037,28.715076571927174,42.02081196063627,59.00870705860868,31.987277862390933,0.47143672434907247,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-4.950824992843234,9.209794016574225,472.1862501944187,0.38301996963933416,0.6126645495518963,-0.6913304944669052,15.993638931195466,2.230223913570789,-1.0648619682557092,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.395215,6,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.390908,6,0,0.8817217490913719,0.478952660050563,0.4511967950800063,41.76843962129244,3d c++,153.26485121618015,131.7127691807985,28.825504365159883,41.76843962129244,58.96714383111883,31.790130475831035,0.4233886640526152,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-4.9835499624567845,9.140323425981991,472.1072851238909,0.38029288883820495,0.6068753336692101,-0.6979109170108873,15.895065237915517,2.2229195873953778,-1.0718757341875598,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.387204,6,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
-453447.381994,6,0,0.816402069859124,0.4787867153708983,0.4512707953269782,42.12847907152389,3d c++,153.21174891868745,131.69500912152523,29.17754355280809,42.12847907152389,59.1582495039355,32.062062860079514,0.41015806560562584,1,-9.547064628515244,1.8578194219514699,480.48221612802155,12.0,-5.021875557026735,9.130606197755768,472.0780959253491,0.3770990892907091,0.6060655646503581,-0.7003433502227036,16.031031430039757,2.221901145719233,-1.0768647747381141,147.68075098100547,122.39727507688444,30.968888130576126,30.968888130576126,90.0
-453447.379145,6,1,0.0,0.5,0.5,0.0,3d c++,160.0,120.0,0.0,0.0,90.0,0.0,0.0,1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
