id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
1,-453447.61389700003,147.33700000215322,1,4,0.5324421857387553,0.5325059702775202,0.977682779298284,0.901877225247886,3d gaze,714.5250167934694,-536.930416352778,14305.434603476915,-453447.61389700003 -453447.609977 -453447.594362 -453447.587476 -453447.581194 -453447.57701300003 -453447.570601 -453447.55869000003 -453447.548843 -453447.543169 -453447.53516100004 -453447.52711100003 -453447.51874 -453447.511146 -453447.50308 -453447.495121 -453447.485339 -453447.475139 -453447.46656000003
2,-453447.44277200004,87.62549998937175,5,8,0.5412260653869432,0.5341796001541008,0.9444189617158469,0.8334269205647017,3d gaze,1404.180648605052,-847.7436459603462,22186.452205027763,-453447.44277200004 -453447.43514300004 -453447.426985 -453447.418061 -453447.403126 -453447.3991345 -453447.39306150004 -453447.38905600004 -453447.384599 -453447.38056950003 -453447.37711700005 -453447.3730315 -453447.3650635 -453447.3598675 -453447.35514650005
3,-453446.702508,83.53800000622869,24,27,0.5097575193072971,0.5377855054775275,1.3473316126455623,0.8725016015373772,3d gaze,20.716232875369883,-60.16439287590702,1378.9416206232054,-453446.702508 -453446.695022 -453446.686952 -453446.679213 -453446.671193 -453446.662934 -453446.650004 -453446.645363 -453446.635161 -453446.62717600004 -453446.61897
4,-453446.411192,120.1289999880828,33,37,0.5129969934646817,0.4793929819074813,0.9028789448304557,0.8507739990053513,3d gaze,42.554100906919345,50.6017451700275,2126.6091166236224,-453446.411192 -453446.403102 -453446.395075 -453446.382853 -453446.3751 -453446.366715 -453446.359075 -453446.35094800004 -453446.342912 -453446.335161 -453446.326827 -453446.318938 -453446.311179 -453446.29915100004 -453446.29106300004
5,-453446.215205,85.38900001440197,39,41,0.5106025656092239,0.46705694565938605,0.45689167168720984,0.8563569782298647,3d gaze,22.911225541305658,53.390248740604015,1403.5534733095424,-453446.215205 -453446.20718 -453446.19894000003 -453446.190804 -453446.18321 -453446.175032 -453446.167126 -453446.159048 -453446.151084 -453446.14306000003 -453446.129816
6,-453446.1064865,81.56149997375906,42,44,0.47525062007734437,0.46842722966265443,0.9822985333792603,0.8558255201940613,3d gaze,48.33675052565239,-46.40444119084364,-1276.999119953407,-453446.1064865 -453446.10228600004 -453446.097998 -453446.094436 -453446.09108150005 -453446.087127 -453446.0831325 -453446.079143 -453446.075222 -453446.0712125 -453446.067218 -453446.062733 -453446.0582625 -453446.0526365 -453446.04882300005 -453446.0449885 -453446.040957 -453446.03695850004 -453446.032838 -453446.0288105 -453446.02492500003
7,-453445.5318345,92.28400001302361,59,62,0.49371683630702257,0.6039502908674115,1.007298308133037,0.895971322789036,3d gaze,43.75059250604206,617.6569087340035,-5133.443085033974,-453445.5318345 -453445.52527850005 -453445.52337400004 -453445.52112600004 -453445.51717500004 -453445.513134 -453445.50691600004 -453445.502784 -453445.495491 -453445.488221 -453445.484231 -453445.48023800005 -453445.4784695 -453445.47675750003 -453445.47384600004 -453445.470988 -453445.466931 -453445.4607935 -453445.4564455 -453445.45176950004 -453445.4481435 -453445.4434875 -453445.4395505
8,-453445.43447000004,99.26400001859292,62,65,0.5015963808510822,0.583344946274585,0.78819833717218,0.9016605448942894,3d gaze,7.67737862495975,-300.55033638409293,3123.0199965169313,-453445.43447000004 -453445.425759 -453445.418862 -453445.411115 -453445.403019 -453445.395067 -453445.38708300004 -453445.375034 -453445.36713800003 -453445.35904400004 -453445.35110900004 -453445.343087 -453445.335206
9,-453443.61501249997,114.19899994507432,117,120,0.542121117616919,0.5423910534511662,0.9034795296933867,0.8256824468318688,3d gaze,52.02979931222509,-39.436027673303194,804.3628915403102,-453443.61501249997 -453443.6090045 -453443.6049995 -453443.6001635 -453443.596133 -453443.593018 -453443.588964 -453443.5849715 -453443.581008 -453443.574588 -453443.570171 -453443.56613000005 -453443.56207750004 -453443.5586115 -453443.555162 -453443.5512045 -453443.54724700004 -453443.54316400003 -453443.539088 -453443.530451 -453443.52087300003 -453443.51776300004 -453443.514993 -453443.5129355 -453443.5108075 -453443.5077005 -453443.5040455 -453443.5008135
10,-453443.41987650003,105.49650003667921,122,126,0.4797096108534217,0.5831947367759791,0.8539372947756231,0.7806037142676284,3d gaze,-269.5427806097274,-779.4711500453601,8129.297104348285,-453443.41987650003 -453443.4159905 -453443.41272900003 -453443.4072115 -453443.4032095 -453443.399144 -453443.395091 -453443.3909425 -453443.3867785 -453443.38079950004 -453443.3748355 -453443.37298900005 -453443.37082 -453443.3668075 -453443.3611465 -453443.3571925 -453443.352121 -453443.3480865 -453443.34511700005 -453443.341074 -453443.337085 -453443.33312900004 -453443.3288825 -453443.3228935 -453443.31917200005 -453443.31438
11,-453442.63563200005,88.81550002843142,147,149,0.6498238055029857,0.6164365577341211,1.3810222154561986,0.8131846773376468,3d gaze,84.2819102967488,-49.156500906664476,365.7218909061645,-453442.63563200005 -453442.63362750004 -453442.63120500004 -453442.62714650005 -453442.6230735 -453442.61910949997 -453442.61515900004 -453442.6110845 -453442.6049745 -453442.601029 -453442.5971555 -453442.59308150003 -453442.589014 -453442.581012 -453442.57491900004 -453442.572039 -453442.5690165 -453442.56595150003 -453442.563075 -453442.55900450004 -453442.55507450004 -453442.55087700003 -453442.5468165
