gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
-453443.13509500003,130,0.33650776564922796,0.4376570200719209,0.35933473795478055,-453443.13509500003-1,-113.48540380460727,192.04392478779766,1182.3453598087394,,,,,,,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06768450697697988,0.16136380703210235,0.9845712413509699
-453443.130734,131,0.9709218298541222,0.4752080003780847,0.47175078105582124,-453443.130734-0,-45.81027362332668,39.14885252945095,1200.1712814410928,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.06278292749471079,0.03490121527388257,0.9974167680501468,,,,,,
-453443.12707700004,131,0.456524676350922,0.4400718991977682,0.4039000547207986,-453443.12707700004-1,-109.87575244262891,132.14652628597833,1190.8669674548228,,,,,,,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06469828083129393,0.11181132688159068,0.9916210766408977
-453443.12340700004,131,0.9975181154171842,0.47763346963191095,0.46556274005163023,-453443.12340700004-0,-41.32658035983596,47.7222271584198,1200.1146923990634,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.05907361578840423,0.041993876837672806,0.9973699525380872,,,,,,
-453443.116921,131,0.34164809002689817,0.4318053378899126,0.3620513516750944,-453443.116921-1,-124.11938706103788,188.30764549067612,1182.1732870376397,,,,,,,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.07648188812232538,0.15827282294367384,0.9844288873792177
-453443.11117,131,0.44188690038656236,0.4324191200532866,0.3585859577364675,-453443.11117-1,-122.93350127286965,192.93019739796176,1181.512470734945,,,,,,,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.07550081743396825,0.16209701092779016,0.9838822010866334
-453443.11051,131,0.8379501535088193,0.46060350710702985,0.4143370471538691,-453443.11839-0 -453443.10263000004-1,14774.842743662026,-24094.593788419952,-243588.7383873525,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.06026783891856549,0.04300192935140118,0.99725554481494,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06005846293662921,0.15318923339678486,0.9863701332669166
-453443.104909,131,0.8242794494896873,0.46169000262919446,0.4136051850797783,-453443.107188-0 -453443.10263000004-1,1050.278724481157,-1776.4025497952177,-17806.73711368551,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.05707932588573858,0.044446664558289994,0.9973797895315869,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06005846293662921,0.15318923339678486,0.9863701332669166
-453443.10092450003,131,0.8379501535088193,0.46187373747804966,0.4133786754623152,-453443.099219-0 -453443.10263000004-1,903.5761999919262,-1539.6664022398013,-15393.325416163081,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.05653916393786079,0.0449253760735126,0.9973891083854189,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06005846293662921,0.15318923339678486,0.9863701332669166
-453443.09704400005,132,0.9368874168562087,0.4609248294458837,0.4111850034276928,-453443.099219-0 -453443.094869-1,528.4887514133542,-900.9121261596524,-8784.696605290024,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.05653916393786079,0.0449253760735126,0.9973891083854189,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06301746409309693,0.15789401418607157,0.985443189384088
-453443.0930175,132,0.7201775588500587,0.46067482038411056,0.41100741924605266,-453443.091166-0 -453443.094869-1,594.3189246170879,-1008.7043862709079,-9816.14004670098,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.05727086218151303,0.04538151409332308,0.997326710022139,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06301746409309693,0.15789401418607157,0.985443189384088
-453443.0891155,132,0.7201775588500587,0.4615786356370359,0.410221637282843,-453443.091166-0 -453443.087065-1,1074.9412351636824,-1883.843775011418,-18172.046578519134,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.05727086218151303,0.04538151409332308,0.997326710022139,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06013802757079548,0.15989670746513196,0.9853001880552464
-453443.08481150004,132,0.8714688070263776,0.46178620872805676,0.4104199216169072,-453443.082558-0 -453443.087065-1,905.5937106326289,-1592.1572987433683,-15392.358568549393,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.0566637064725137,0.04488720008774333,0.9973837594612616,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06013802757079548,0.15989670746513196,0.9853001880552464
-453443.080767,132,0.8714688070263776,0.4611381233098843,0.41431473485599735,-453443.082558-0 -453443.078976-1,605.1083115406752,-1000.6374601124851,-10113.494674481997,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.0566637064725137,0.04488720008774333,0.9973837594612616,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06227381842368511,0.150942926838958,0.9865790411194751
-453443.077027,132,0.7038714925664081,0.4612712099124837,0.4139025774580021,-453443.075078-0 -453443.078976-1,566.4805274665425,-944.501104182867,-9500.423329358306,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.05627081246037477,0.045800139247528626,0.9973644985209551,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06227381842368511,0.150942926838958,0.9865790411194751
-453443.075078,132,0.7038714925664081,0.46538422744994545,0.46048448335433967,-453443.075078-0,-507.71283620944223,434.6833874956642,9526.558007183328,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.05627081246037477,0.045800139247528626,0.9973644985209551,,,,,,
-453443.06710700004,132,0.42326231188017643,0.45453973959626415,0.39243632782276117,-453443.06710700004-1,-661.809471977537,1174.4321818987078,9455.684232153098,,,,,,,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06593328550361852,0.12319896258729235,0.9901892836625295
-453443.067088,132,0.751259605347695,0.4661149937360166,0.4614631024248763,-453443.067088-0,-497.0510449232779,423.96639368876777,9527.639628292858,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.05515523782659035,0.04467878861136371,0.9974776717242915,,,,,,
-453443.05911900004,133,0.3622637572686964,0.4483578093800243,0.3595395940526023,-453443.05911900004-1,-747.3314338798996,1524.4871778252354,9399.407851228143,,,,,,,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.07488170034020984,0.15982624813469437,0.9843009201262315
-453443.05114550004,133,0.9260433956946756,0.45902937690841467,0.41156964822382847,-453443.059132-0 -453443.043159-1,215.22371768429815,-348.4016283359898,-3412.003447618038,30.0796518827066,-3.038581744430463,-5.47310703013563,-0.05414693016483885,0.04487681000653798,0.9975240257143492,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.07161749047565792,0.1562062763133229,0.9851246288152047
-453443.051022,133,0.4562114234867916,0.45328021408553615,0.3920477597400953,-453443.051022-1,-680.0210214906876,1178.458835857412,9453.952054830715,,,,,,,-31.67061119513038,-3.0073062346460233,-7.771780998409966,-0.06783881358360859,0.1236202832542227,0.9900080408459893
